search_stage,evaluation_split,n_clusters,aggregation,model,model_display,estimator_class,n_features,threshold,accuracy,roc_auc,f1,precision,recall,best_epoch
coarse,val,50,sum,mlp,Neural Network,TorchRegularizedHybridNetClassifier,50,0.5,0.6502403846153846,0.7399425536464563,0.6556213017751479,0.6533018867924528,0.6579572446555819,18
coarse,val,50,sum,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,50,0.5,0.6682692307692307,0.7390929948968682,0.6834862385321101,0.6607538802660754,0.7078384798099763,13
coarse,val,50,sum,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,50,0.5,0.671875,0.7350590356641296,0.6714801444043321,0.6804878048780488,0.66270783847981,18
coarse,val,70,mean,mlp,Neural Network,TorchRegularizedHybridNetClassifier,70,0.5,0.6550480769230769,0.7337818078841363,0.6611570247933884,0.6572769953051644,0.665083135391924,19
coarse,val,70,mean,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,70,0.5,0.6610576923076923,0.7366599048725373,0.6824324324324325,0.6488222698072805,0.7197149643705463,18
coarse,val,70,mean,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,70,0.5,0.6754807692307693,0.745519588975386,0.6903669724770642,0.6674057649667405,0.7149643705463183,22
coarse,val,70,pca,mlp,Neural Network,TorchRegularizedHybridNetClassifier,70,0.5,0.6790865384615384,0.7509579208349948,0.6825208085612366,0.6833333333333333,0.6817102137767221,24
coarse,val,70,pca,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,70,0.5,0.6850961538461539,0.7589911634331421,0.704954954954955,0.6702355460385439,0.7434679334916865,24
coarse,val,70,pca,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,70,0.5,0.6610576923076923,0.7382723327033884,0.6713286713286714,0.6590389016018307,0.684085510688836,19
coarse,val,70,max,mlp,Neural Network,TorchRegularizedHybridNetClassifier,70,0.5,0.6286057692307693,0.6954071813721241,0.640279394644936,0.6278538812785388,0.6532066508313539,19
coarse,val,70,max,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,70,0.5,0.6490384615384616,0.7121440666701343,0.6368159203980099,0.6684073107049608,0.6080760095011877,8
coarse,val,70,max,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,70,0.5,0.6310096153846154,0.7011402581040391,0.6375442739079102,0.6338028169014085,0.6413301662707839,11
coarse,val,70,min,mlp,Neural Network,TorchRegularizedHybridNetClassifier,70,0.5,0.6442307692307693,0.7182470193202374,0.6525821596244131,0.6450116009280742,0.6603325415676959,13
coarse,val,70,min,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,70,0.5,0.6634615384615384,0.7554426663430251,0.6650717703349283,0.6698795180722892,0.6603325415676959,10
coarse,val,70,min,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,70,0.5,0.6658653846153846,0.7411966641815628,0.6721698113207547,0.667447306791569,0.6769596199524941,29
