task_name,n_recordings
harvard-sentences-list-32-8,2
harvard-sentences-list-38-6,2
harvard-sentences-list-38-7,2
harvard-sentences-list-38-8,2
harvard-sentences-list-38-9,2
harvard-sentences-list-5-1,2
harvard-sentences-list-5-10,2
harvard-sentences-list-5-2,2
harvard-sentences-list-5-3,2
harvard-sentences-list-5-4,2
harvard-sentences-list-5-5,2
harvard-sentences-list-5-6,2
harvard-sentences-list-5-7,2
harvard-sentences-list-5-8,2
harvard-sentences-list-5-9,2
harvard-sentences-list-32-9,2
harvard-sentences-list-32-7,2
harvard-sentences-list-34-6,2
harvard-sentences-list-49-1,2
harvard-sentences-list-34-7,2
harvard-sentences-list-34-8,2
harvard-sentences-list-34-9,2
harvard-sentences-list-62-1,2
harvard-sentences-list-62-10,2
harvard-sentences-list-62-2,2
harvard-sentences-list-62-3,2
harvard-sentences-list-62-4,2
harvard-sentences-list-62-5,2
harvard-sentences-list-62-6,2
harvard-sentences-list-62-7,2
harvard-sentences-list-62-8,2
harvard-sentences-list-62-9,2
harvard-sentences-list-55-6,2
harvard-sentences-list-49-10,2
harvard-sentences-list-32-6,2
harvard-sentences-list-49-2,2
harvard-sentences-list-49-3,2
harvard-sentences-list-49-4,2
harvard-sentences-list-49-5,2
harvard-sentences-list-49-6,2
harvard-sentences-list-49-7,2
harvard-sentences-list-49-8,2
harvard-sentences-list-49-9,2
harvard-sentences-list-32-1,2
harvard-sentences-list-32-10,2
harvard-sentences-list-32-2,2
harvard-sentences-list-32-3,2
harvard-sentences-list-32-4,2
harvard-sentences-list-32-5,2
harvard-sentences-list-55-7,2
harvard-sentences-list-20-5,2
harvard-sentences-list-55-5,2
harvard-sentences-list-35-10,2
harvard-sentences-list-11-6,2
harvard-sentences-list-11-7,2
harvard-sentences-list-11-8,2
harvard-sentences-list-11-9,2
maximum-phonation-time-v2-3,2
harvard-sentences-list-60-2,2
harvard-sentences-list-60-10,2
harvard-sentences-list-60-1,2
harvard-sentences-list-35-2,2
harvard-sentences-list-11-4,2
harvard-sentences-list-35-3,2
harvard-sentences-list-35-4,2
harvard-sentences-list-35-5,2
harvard-sentences-list-35-6,2
harvard-sentences-list-35-7,2
harvard-sentences-list-60-5,2
harvard-sentences-list-46-1,2
harvard-sentences-list-46-10,2
harvard-sentences-list-11-5,2
harvard-sentences-list-11-3,2
harvard-sentences-list-55-4,2
harvard-sentences-list-59-8,2
harvard-sentences-list-59-1,2
harvard-sentences-list-59-10,2
harvard-sentences-list-59-2,2
harvard-sentences-list-59-3,2
harvard-sentences-list-59-4,2
harvard-sentences-list-59-5,2
harvard-sentences-list-59-6,2
harvard-sentences-list-59-7,2
harvard-sentences-list-59-9,2
harvard-sentences-list-11-2,2
harvard-sentences-list-35-1,2
harvard-sentences-list-60-3,2
harvard-sentences-list-60-6,2
harvard-sentences-list-60-7,2
harvard-sentences-list-60-8,2
harvard-sentences-list-60-9,2
harvard-sentences-list-11-1,2
harvard-sentences-list-11-10,2
harvard-sentences-list-46-2,2
harvard-sentences-list-60-4,2
harvard-sentences-list-19-1,2
harvard-sentences-list-19-3,2
harvard-sentences-list-19-9,2
harvard-sentences-list-68-1,2
harvard-sentences-list-46-8,2
harvard-sentences-list-46-9,2
harvard-sentences-list-19-10,2
harvard-sentences-list-19-2,2
harvard-sentences-list-19-4,2
harvard-sentences-list-68-9,2
harvard-sentences-list-19-5,2
harvard-sentences-list-19-6,2
harvard-sentences-list-19-7,2
harvard-sentences-list-68-10,2
harvard-sentences-list-19-8,2
harvard-sentences-list-68-2,2
harvard-sentences-list-68-4,2
harvard-sentences-list-68-3,2
harvard-sentences-list-46-7,2
harvard-sentences-list-46-4,2
harvard-sentences-list-55-3,2
harvard-sentences-list-55-2,2
harvard-sentences-list-55-10,2
harvard-sentences-list-55-1,2
harvard-sentences-list-46-3,2
harvard-sentences-list-68-8,2
harvard-sentences-list-68-5,2
harvard-sentences-list-46-5,2
harvard-sentences-list-46-6,2
harvard-sentences-list-68-6,2
harvard-sentences-list-68-7,2
harvard-sentences-list-3-6,1
harvard-sentences-list-3-5,1
harvard-sentences-list-3-9,1
harvard-sentences-list-3-8,1
harvard-sentences-list-3-7,1
harvard-sentences-list-6-9,1
harvard-sentences-list-3-3,1
harvard-sentences-list-6-7,1
harvard-sentences-list-6-6,1
harvard-sentences-list-6-5,1
harvard-sentences-list-6-4,1
harvard-sentences-list-6-3,1
harvard-sentences-list-6-2,1
harvard-sentences-list-6-10,1
harvard-sentences-list-6-1,1
harvard-sentences-list-48-9,1
harvard-sentences-list-48-8,1
harvard-sentences-list-3-4,1
harvard-sentences-list-25-1,1
harvard-sentences-list-3-2,1
harvard-sentences-list-3-10,1
harvard-sentences-list-39-10,1
harvard-sentences-list-39-2,1
harvard-sentences-list-39-3,1
harvard-sentences-list-39-4,1
harvard-sentences-list-39-5,1
harvard-sentences-list-39-6,1
harvard-sentences-list-39-7,1
harvard-sentences-list-39-8,1
harvard-sentences-list-39-9,1
harvard-sentences-list-4-1,1
harvard-sentences-list-4-2,1
harvard-sentences-list-4-3,1
harvard-sentences-list-4-4,1
harvard-sentences-list-4-5,1
harvard-sentences-list-4-6,1
harvard-sentences-list-4-7,1
harvard-sentences-list-4-8,1
harvard-sentences-list-4-9,1
harvard-sentences-list-25-2,1
harvard-sentences-list-25-10,1
harvard-sentences-list-39-1,1
harvard-sentences-list-6-8,1
harvard-sentences-list-3-1,1
harvard-sentences-list-4-10,1
harvard-sentences-list-67-5,1
harvard-sentences-list-50-1,1
harvard-sentences-list-66-10,1
harvard-sentences-list-66-3,1
harvard-sentences-list-66-4,1
harvard-sentences-list-66-5,1
harvard-sentences-list-66-6,1
harvard-sentences-list-66-7,1
harvard-sentences-list-66-8,1
harvard-sentences-list-66-9,1
harvard-sentences-list-53-1,1
harvard-sentences-list-53-10,1
harvard-sentences-list-53-2,1
harvard-sentences-list-53-3,1
harvard-sentences-list-53-4,1
harvard-sentences-list-53-5,1
harvard-sentences-list-53-6,1
harvard-sentences-list-53-7,1
harvard-sentences-list-53-8,1
harvard-sentences-list-53-9,1
harvard-sentences-list-54-1,1
harvard-sentences-list-54-10,1
harvard-sentences-list-54-2,1
harvard-sentences-list-54-3,1
harvard-sentences-list-54-4,1
harvard-sentences-list-54-5,1
harvard-sentences-list-54-6,1
harvard-sentences-list-54-7,1
harvard-sentences-list-54-8,1
harvard-sentences-list-54-9,1
harvard-sentences-list-66-2,1
harvard-sentences-list-66-1,1
harvard-sentences-list-50-10,1
harvard-sentences-list-43-9,1
harvard-sentences-list-50-2,1
harvard-sentences-list-50-3,1
harvard-sentences-list-50-4,1
harvard-sentences-list-50-5,1
harvard-sentences-list-50-6,1
harvard-sentences-list-50-7,1
harvard-sentences-list-50-8,1
harvard-sentences-list-50-9,1
harvard-sentences-list-67-1,1
harvard-sentences-list-67-10,1
harvard-sentences-list-67-2,1
harvard-sentences-list-67-3,1
harvard-sentences-list-67-4,1
harvard-sentences-list-48-6,1
harvard-sentences-list-67-6,1
harvard-sentences-list-67-7,1
harvard-sentences-list-67-8,1
harvard-sentences-list-67-9,1
harvard-sentences-list-43-1,1
harvard-sentences-list-43-10,1
harvard-sentences-list-43-2,1
harvard-sentences-list-43-3,1
harvard-sentences-list-43-4,1
harvard-sentences-list-43-5,1
harvard-sentences-list-43-6,1
harvard-sentences-list-43-7,1
harvard-sentences-list-43-8,1
harvard-sentences-list-48-7,1
harvard-sentences-list-25-5,1
harvard-sentences-list-48-5,1
harvard-sentences-list-48-4,1
harvard-sentences-list-45-1,1
harvard-sentences-list-45-10,1
harvard-sentences-list-45-2,1
harvard-sentences-list-56-9,1
harvard-sentences-list-56-8,1
harvard-sentences-list-56-7,1
harvard-sentences-list-56-6,1
harvard-sentences-list-56-5,1
harvard-sentences-list-56-4,1
harvard-sentences-list-56-3,1
harvard-sentences-list-56-2,1
harvard-sentences-list-56-10,1
harvard-sentences-list-56-1,1
harvard-sentences-list-45-3,1
harvard-sentences-list-45-4,1
maximum-phonation-time-v2-4,1
harvard-sentences-list-8-9,1
harvard-sentences-list-8-8,1
harvard-sentences-list-70-10,1
harvard-sentences-list-63-10,1
harvard-sentences-list-63-1,1
harvard-sentences-list-70-5,1
harvard-sentences-list-70-4,1
harvard-sentences-list-70-3,1
harvard-sentences-list-70-2,1
harvard-sentences-list-8-1,1
harvard-sentences-list-8-7,1
harvard-sentences-list-8-10,1
harvard-sentences-list-8-2,1
harvard-sentences-list-8-3,1
harvard-sentences-list-8-4,1
harvard-sentences-list-8-5,1
harvard-sentences-list-8-6,1
harvard-sentences-list-45-5,1
harvard-sentences-list-45-6,1
harvard-sentences-list-45-7,1
harvard-sentences-list-27-2,1
harvard-sentences-list-29-6,1
harvard-sentences-list-29-7,1
harvard-sentences-list-29-8,1
harvard-sentences-list-29-9,1
harvard-sentences-list-27-1,1
harvard-sentences-list-27-10,1
harvard-sentences-list-27-3,1
harvard-sentences-list-29-4,1
harvard-sentences-list-27-4,1
harvard-sentences-list-27-5,1
harvard-sentences-list-27-6,1
harvard-sentences-list-27-7,1
harvard-sentences-list-27-8,1
harvard-sentences-list-27-9,1
harvard-sentences-list-29-5,1
harvard-sentences-list-29-3,1
harvard-sentences-list-45-8,1
harvard-sentences-list-23-4,1
harvard-sentences-list-45-9,1
harvard-sentences-list-23-9,1
harvard-sentences-list-23-8,1
harvard-sentences-list-23-7,1
harvard-sentences-list-23-6,1
harvard-sentences-list-23-5,1
harvard-sentences-list-23-3,1
harvard-sentences-list-29-2,1
harvard-sentences-list-23-2,1
harvard-sentences-list-23-10,1
harvard-sentences-list-23-1,1
harvard-sentences-list-70-1,1
harvard-sentences-list-29-1,1
harvard-sentences-list-29-10,1
harvard-sentences-list-63-2,1
harvard-sentences-list-63-3,1
harvard-sentences-list-63-4,1
harvard-sentences-list-13-8,1
harvard-sentences-list-25-8,1
harvard-sentences-list-25-9,1
harvard-sentences-list-42-1,1
harvard-sentences-list-42-10,1
harvard-sentences-list-42-2,1
harvard-sentences-list-13-9,1
harvard-sentences-list-13-7,1
harvard-sentences-list-25-6,1
harvard-sentences-list-13-6,1
harvard-sentences-list-13-5,1
harvard-sentences-list-13-4,1
harvard-sentences-list-13-3,1
harvard-sentences-list-13-2,1
harvard-sentences-list-13-10,1
harvard-sentences-list-25-7,1
harvard-sentences-list-25-4,1
harvard-sentences-list-47-9,1
harvard-sentences-list-21-7,1
harvard-sentences-list-48-3,1
harvard-sentences-list-48-2,1
harvard-sentences-list-48-10,1
harvard-sentences-list-48-1,1
harvard-sentences-list-21-9,1
harvard-sentences-list-21-8,1
harvard-sentences-list-21-6,1
harvard-sentences-list-25-3,1
harvard-sentences-list-21-5,1
harvard-sentences-list-21-4,1
harvard-sentences-list-21-3,1
harvard-sentences-list-21-2,1
harvard-sentences-list-21-10,1
harvard-sentences-list-21-1,1
harvard-sentences-list-13-1,1
harvard-sentences-list-47-8,1
harvard-sentences-list-63-5,1
harvard-sentences-list-70-9,1
harvard-sentences-list-42-4,1
harvard-sentences-list-42-5,1
harvard-sentences-list-42-6,1
harvard-sentences-list-42-7,1
harvard-sentences-list-42-8,1
harvard-sentences-list-42-9,1
harvard-sentences-list-70-8,1
harvard-sentences-list-44-1,1
harvard-sentences-list-70-7,1
harvard-sentences-list-70-6,1
harvard-sentences-list-63-9,1
harvard-sentences-list-63-8,1
harvard-sentences-list-63-7,1
harvard-sentences-list-63-6,1
harvard-sentences-list-42-3,1
harvard-sentences-list-44-10,1
harvard-sentences-list-47-7,1
harvard-sentences-list-47-1,1
harvard-sentences-list-47-6,1
harvard-sentences-list-47-5,1
harvard-sentences-list-47-4,1
harvard-sentences-list-47-3,1
harvard-sentences-list-47-2,1
harvard-sentences-list-47-10,1
harvard-sentences-list-44-9,1
harvard-sentences-list-44-2,1
harvard-sentences-list-44-8,1
harvard-sentences-list-44-7,1
harvard-sentences-list-44-6,1
harvard-sentences-list-44-5,1
harvard-sentences-list-44-4,1
harvard-sentences-list-44-3,1
maximum-phonation-time-v2-5,1
